drug_1_name,drug_2_name,drug_1_SMILES,drug_2_SMILES,molecular_interaction,mechanism,evidence,severity
Naproxen,Temazepam,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3,Hydrogen Bonding,"Hydrogen bonds can form between a hydrogen donor group in one molecule and an acceptor group in another. In physiological conditions, polar groups with hydrogen atoms (often part of hydroxyl, amino, or carboxyl groups) can interact with electronegative atoms like nitrogen or oxygen that have lone pairs.","In SMILES 1, the carboxylic acid group 'C(=O)O' could act as a hydrogen bond donor and acceptor. In SMILES 2, the amide group 'C(=NC(C1=O)O)' can likewise function as a hydrogen bond donor and acceptor due to its electronegative oxygen and nitrogen.",Moderate - The ability of these molecules to form one or more hydrogen bonds could stabilize a complex or influence the molecules' bioavailability or binding to similar sites.
Diazepam,Formoterol,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,CC(CC1=CC=C(C=C1)OC)NCC(C2=CC(=C(C=C2)O)NC=O)O,Hydrogen Bonding,The hydroxyl group (-OH) in SMILES 2 can form a hydrogen bond with the carbonyl oxygen (=O) in SMILES 1.,"SMILES 1 contains a carbonyl group (C=O) from the structure ""C(=O)"" present in the lactam ring, which can act as a hydrogen bond acceptor. SMILES 2 includes a hydroxyl group in the structure ""C(C2=CC(=C(C=C2)O)"" which can act as a hydrogen bond donor.","Moderate - While hydrogen bonds can contribute to molecular interactions, the pharmacological impact is often contingent on the specific context of the interaction and concentration of the drugs."
Ranitidine,gadoversetamide,CNC(=C[N+](=O)[O-])NCCSCC1=CC=C(O1)CN(C)C,COCCNC(=O)CN(CCN(CCN(CC(=O)NCCOC)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Gd+3],Hydrogen bonding,The presence of several carbonyl (C=O) groups in SMILES 2 could potentially form hydrogen bonds with the NH or OH groups or other polar regions in SMILES 1 under physiological conditions.,"SMILES 1 contains an OH group in the oxirane ring (C1=CC=C(O1)), which can act as a hydrogen bond donor. SMILES 2 has multiple C=O groups (carbonyl) which can act as hydrogen bond acceptors.",Moderate - Due to the potential multiple hydrogen bond interactions that could stabilize a drug-protein complex or modify bioavailability slightly.
Naproxen,Lamotrigine,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,Hydrogen bonding,"The carboxyl group (-C(=O)O) in SMILES 1 can act as a hydrogen bond donor or acceptor, and the amino group (-NH2) in the triazole ring of SMILES 2 can act as a hydrogen bond donor. Under physiological conditions, these groups could form a hydrogen bond.","- SMILES 1 has a carboxyl group (C(=O)O) which can participate in hydrogen bonding.
- SMILES 2 has an amino group (N) in the triazole ring (C2=C(N=C(N=N2)N)), providing an H donor site for such interactions.","Moderate - Hydrogen bonds can significantly impact binding affinities and pharmacological interactions depending on the context, such as proximity and orientation of the molecules."
Carvedilol,Dexpramipexole,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,CCCNC1CCC2=C(C1)SC(=N2)N,Hydrogen bonding,"Hydrogen bonds can form between a hydrogen donor and an acceptor. The first molecule contains an amino group (NCC), which can act as both a hydrogen bond donor and acceptor, engaging with the sulfur-containing heterocycle or nitrogen atoms in the second molecule.","- In SMILES 1, the amino group (NCC) can act as a hydrogen donor.
- In SMILES 2, the nitrogen in the thiazole ring and the nitrogen at the end of the chain (C(=N2)N) can act as hydrogen bond acceptors.","Moderate - Given the potential for hydrogen bonding, this interaction could impact the pharmacokinetic or pharmacodynamic properties of the involved drugs under physiological conditions."
phenytoin,Dapsone,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Hydrogen bonding,"A hydrogen bond can potentially form between a hydrogen donor in one molecule and an acceptor in the other molecule, stabilizing the interaction under physiological conditions.","- In SMILES 1, the structure includes an amide group represented by ""C(=O)N"", which contains both a possible hydrogen donor (the nitrogen of the amide group could have a hydrogen attached) and a hydrogen bond acceptor (the carbonyl oxygen).
- In SMILES 2, the sulfonamide group ""S(=O)(=O)"" is a strong hydrogen bond acceptor (due to the electronegative oxygen atoms), and the amine group ""C=C1N"" could act as a hydrogen donor if protonated under physiological conditions.",Moderate - Hydrogen bonds are common in drug interactions and can have moderate impacts depending on the overall pharmacokinetics and pharmacodynamics of the drugs involved.
Celecoxib,Propofol,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,CC(C)C1=C(C(=CC=C1)C(C)C)O,Hydrogen Bonding,"The phenolic hydroxyl group (-OH) from SMILES 2 can act as a hydrogen donor, while the sulfonamide group (S(=O)(=O)N) in SMILES 1 can act as a hydrogen acceptor.","In SMILES 1, the group S(=O)(=O)N suggests the presence of oxygen atoms in the sulfonamide that can accept hydrogen bonds. In SMILES 2, the presence of the -OH group can donate hydrogen to form hydrogen bonds.","Moderate - Hydrogen bonding is a common interaction that can modulate solubility and affect binding affinity, impacting pharmacological properties."
Gabapentin,Lamivudine,C1CCC(CC1)(CC(=O)O)CN,C1C(OC(S1)CO)N2C=CC(=NC2=O)N,Hydrogen Bonding,"The SMILES of the two molecules suggest potential hydrogen bonding due to the presence of carboxylic acid (-COOH) in SMILES 1 and an amide group (C=O and NH) in SMILES 2. The carboxylic acid group can act as a hydrogen bond donor through its hydroxyl hydrogen and acceptor through its carbonyl oxygen, while the amide group can act as a hydrogen bond donor through its NH group and acceptor through its carbonyl oxygen.","In SMILES 1, the carboxylic acid group ""CC(=O)O"" provides an -OH hydrogen donor and a C=O acceptor. In SMILES 2, the ""NC=O"" within the bicyclic structure provides an NH donor and a C=O acceptor for hydrogen bonding.","Moderate - Hydrogen bonding can significantly affect the pharmacokinetics and pharmacodynamics of drugs, influencing solubility, permeability, and binding affinity to other biological targets."
Norfloxacin,Sorafenib,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,Hydrogen Bonding,"Hydrogen bonds can form between hydrogen donors (such as -NH or -OH groups) and acceptors (such as carbonyl oxygens or fluorine atoms). In SMILES 1, there is a carboxylic acid group (C(=O)O), which can act as both a hydrogen donor and acceptor. In SMILES 2, there are several carbonyl groups (C=O) which can act as hydrogen bond acceptors.","In SMILES 1, the presence of C(=O)O indicates a carboxylic acid group capable of donating or accepting hydrogen bonds. In SMILES 2, the groups CNC(=O) and NC(=O)NC indicate amide groups, which have carbonyl oxygens capable of accepting hydrogen bonds from the acidic hydrogen in the carboxylic acid of SMILES 1.","Moderate - Hydrogen bonding can significantly influence pharmacokinetics and the binding affinity of drugs to their target proteins or other molecules, potentially affecting efficacy or metabolism."
Candesartan,Famotidine,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,Hydrogen Bonding,"Hydrogen bonding can occur between a hydrogen bond donor and an acceptor. In SMILES 1, the carboxylic acid group (C(=O)O) can potentially act as a hydrogen bond donor. In SMILES 2, the sulfonamide group (S(=O)(=O)N) contains oxygen atoms capable of acting as hydrogen bond acceptors.","SMILES 1 contains ""C(=O)O"" which indicates the presence of a carboxylic acid, while SMILES 2 contains ""S(=O)(=O)N"" which includes oxygens that are potential hydrogen bond acceptors.","Moderate - Hydrogen bonds are moderate strength interactions and could influence binding affinity or stability, though much depends on the spatial orientation which cannot be deduced from SMILES alone."
Rofecoxib,Zolpidem,CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3,CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C,π-π Stacking,Both SMILES strings contain aromatic rings capable of engaging in π-π stacking interactions. These interactions occur between the delocalized electrons of the overlapping π systems within the aromatic structures.,"SMILES 1 contains phenyl groups at C1=CC=C and C3=CC=CC=C. SMILES 2 contains aromatic rings C1=CC=C and C=C3, with potential alongside other aromatic systems in the heterocyclic component.",Moderate - π-π stacking can influence the pharmacokinetic and pharmacodynamic properties of drugs by affecting molecular orientation and complex formation.
Modafinil,Pamidronic acid,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N,C(CN)C(O)(P(=O)(O)O)P(=O)(O)O,Hydrogen Bonding,"The second SMILES string contains phosphoric acid groups (P(=O)(O)O), which have hydroxyl groups that can act as hydrogen bond donors or acceptors. The first SMILES string has an amide group (C(=O)N), where the oxygen can act as a hydrogen bond acceptor.","In the first SMILES, the presence of the amide group, particularly the carbonyl oxygen (C(=O)), can potentially form hydrogen bonds with the hydroxyl groups (O-H) present in the phosphoric acid groups in the second SMILES.","Moderate - This potential hydrogen bonding interaction could stabilize or alter the conformation and solubility of the drugs when in proximity, impacting their bioavailability and activity under physiological conditions."
Fluorouracil,Indapamide,C1=C(C(=O)NC(=O)N1)F,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N,Hydrogen Bonding,"The carbonyl group (C=O) in SMILES 1 has a partially negative oxygen that can hydrogen bond with hydrogens attached to electronegative atoms in SMILES 2. Specifically, the amine group (-NH-) forming part of the five-membered ring in SMILES 2 can act as a hydrogen bond donor due to the presence of hydrogen bound to nitrogen.","SMILES 1 has an oxygen in the C=O group (C1=C(C(=O)NC(=O)N1)F), and SMILES 2 has a secondary amine group in the piperazine ring (CC1CC2=CC=CC=C2N1N) that can donate hydrogen.","Moderate - Hydrogen bonds can influence drug binding and solubility, potentially affecting pharmacokinetics."
Carvedilol,Pilocarpine,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,CCC1C(COC1=O)CC2=CN=CN2C,Hydrogen bonding,A hydrogen bond may form between a hydrogen bond donor (N-H or O-H) from one molecule and a hydrogen bond acceptor (N or O) from the other molecule.,"In SMILES 1, ""COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O"" contains an -OH group (phenolic hydroxyl) and a secondary alcohol group. These hydroxyl groups can act as hydrogen bond donors. In SMILES 2, ""CCC1C(COC1=O)CC2=CN=CN2C"" contains an =O in the ester moiety and several nitrogen atoms in the imidazole group, which can act as hydrogen bond acceptors.",Moderate - The potential hydrogen bonding could impact the solubility or alter the pharmacokinetic behavior of these compounds when administered together.
Ondansetron,Telmisartan,CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C,CCCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C=C(C=C2C)C5=NC6=CC=CC=C6N5C,Pi-Pi Stacking,Pi-Pi stacking occurs between aromatic rings when the electron cloud of one aromatic ring aligns with that of another. This interaction is primarily driven by the quadrupole moment of the aromatic systems.,"Both SMILES 1 and SMILES 2 contain aromatic rings. SMILES 1 has an indole-like structure (specifically the phenyl and pyrrole fused rings) represented by ""C3=C(C2=O)C4=CC=CC=C4N3"". SMILES 2 contains a biphenyl system as well (""C3=CC=C(C=C3)C4=CC=CC=C4""). The proximity of these aromatic systems can facilitate this interaction through stacking.","Moderate - Pi-Pi stacking can have a noticeable impact on drug binding affinity and pharmacokinetics, but generally, it does not fundamentally alter the pharmacological effects unless critical to the active site binding or receptor alignment."
Celecoxib,Pirbuterol,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,CC(C)(C)NCC(C1=NC(=C(C=C1)O)CO)O,Hydrogen Bonding,"Hydrogen bonds can form between hydrogen donor and acceptor groups present in the two molecules under physiological conditions, facilitating interactions between them.","- In SMILES 1: The sulfonamide group ""S(=O)(=O)N"" contains oxygens that can act as hydrogen bond acceptors.
- In SMILES 2: The hydroxyl groups ""C(C1=NC(=C(C=C1)O)CO)O"" provide hydrogen atoms capable of donating hydrogen bonds.","Moderate - Hydrogen bonding can influence drug solubility, bioavailability, and receptor interactions, potentially affecting pharmacological activity."
Furosemide,vincristine,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,Hydrogen Bonding,"SMILES 1 contains a carboxylic acid group (-C(=O)O) which can act as a hydrogen bond donor and acceptor. SMILES 2 contains multiple carbonyl groups (-C(=O)OC), which can act as hydrogen bond acceptors. The hydrogen from the carboxylic acid in SMILES 1 could potentially form a hydrogen bond with the carbonyl oxygen in SMILES 2, facilitating interaction.","SMILES 1 has a -C(=O)O group, indicating possible hydrogen bond formation. SMILES 2 includes -C(=O)OC groups, which can accept hydrogen bonds.","Moderate - Due to the potential stabilizing effect and proximity of these functional groups under physiological conditions, this interaction could influence the pharmacokinetic properties such as solubility or binding affinity."
Carvedilol,Famotidine,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,Hydrogen bonding,The presence of an -OH group (hydroxyl) in SMILES 1 and the presence of amine groups (N and NH) in SMILES 2 allows for potential hydrogen bonding interactions. The hydrogen atom of the hydroxyl group can form a hydrogen bond with the lone pair of electrons on the nitrogen atoms.,"In SMILES 1, the hydroxyl group is present as ""O"" attached to the aromatic ring. In SMILES 2, the nitrogen-containing groups ""NC"", ""N=C"", and ""N"" can serve as hydrogen bond acceptors or donors due to the lone pairs on nitrogen atoms.","Moderate - Hydrogen bonding can significantly impact drug binding and solubility under physiological conditions, affecting pharmacokinetic or pharmacodynamic profiles. However, the actual impact depends on the spatial orientation and availability of these groups in vivo."
Candesartan,Thalidomide,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,Hydrogen Bonding,Hydrogen bonding can occur between hydrogen donors (such as NH groups) and acceptors (such as carbonyl oxygen atoms). The SMILES structures indicate potential donor and acceptor pairs that could form hydrogen bonds under physiological conditions.,"In SMILES 2, the structure contains an amide group (-CONH-) with a hydrogen donor (NH) and carbonyl oxygen acceptor (C=O). SMILES 1 includes a carboxyl group (C(=O)O) which acts as a hydrogen bond acceptor and potentially as a donor from the hydroxyl group.","Moderate - This interaction could affect the relative binding affinities or solubility of the drugs, influencing absorption or distribution in the body."
Gabapentin,Ziprasidone,C1CCC(CC1)(CC(=O)O)CN,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,Hydrogen Bonding,Hydrogen bonds can form between hydrogen donors like NH (from the amine group in SMILES 1) and hydrogen acceptors like the carbonyl oxygen (C=O) in SMILES 2.,"In SMILES 1, the NH group on CN is a potential hydrogen bond donor. In SMILES 2, the carbonyl oxygen in the indole-like structure (between C3 and N3) is a likely hydrogen bond acceptor.","Moderate - Hydrogen bonds can significantly affect molecular interaction, potentially influencing the biological activity and efficacy of drugs in combination."
Citalopram,Terazosin,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4CCCO4)N)OC,Potential Hydrogen Bonding,"Hydrogen bonds can occur between a hydrogen atom bound to an electronegative atom (like nitrogen or oxygen) and another electronegative atom with a lone pair capable of forming a bond. In physiological conditions, hydrogen bonds play a significant role in molecular interactions.","- In SMILES 1, there is a nitrile group (C#N) which includes a nitrogen capable of accepting hydrogen bonds.
- In SMILES 2, there are multiple nitrogen atoms in the heterocyclic structure and oxygen atoms in the methoxy groups, any of which may participate in hydrogen bonding as donors or acceptors.","Moderate - While hydrogen bonds are significant, they are one of the weaker non-covalent interactions in terms of stability. However, they can influence drug binding affinity and specificity in biological systems."
Zolpidem,solifenacin,CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C,C1CN2CCC1C(C2)OC(=O)N3CCC4=CC=CC=C4C3C5=CC=CC=C5,Pi-Pi Stacking,Pi-pi stacking interactions occur when aromatic rings in two different molecules align in parallel or offset stacking arrangements. These interactions are non-covalent and involve the overlap of pi-electron clouds in aromatic systems.,"In SMILES 1, there is an indole moiety with an aromatic ring structure containing a pyrrole and a benzene ring. In SMILES 2, a phenyl ring is present. The presence of multiple aromatic rings in close proximity can lead to pi-pi stacking.",Moderate - This interaction could influence the pharmacokinetics or binding affinity of the molecules if they are capable of forming a stable complex through this interaction.
Rofecoxib,Torasemide,CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3,CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C,Hydrogen bonding,"A hydrogen bond can potentially form between a hydrogen donor group from SMILES 2 and an acceptor group from SMILES 1. Specifically, the N-H group in the sulfonamide segment of SMILES 2 can act as a hydrogen donor, and the sulfonyl oxygen (S=O) groups in SMILES 1 can act as hydrogen acceptors.","In SMILES 2, there is an ""S(=O)(=O)N"" segment indicating sulfonamide, typically with an N-H bond. In SMILES 1, there is an ""S(=O)(=O)"" segment indicating sulfonyl oxygens which can act as hydrogen bond acceptors.",Moderate - This type of interaction can affect molecular binding potency and pharmacokinetics.
Celecoxib,Desloratadine,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4,Pi-Pi Stacking,"Pi-pi stacking occurs due to the overlapping of the pi-electron clouds from the aromatic rings present in both molecular structures, which can stabilize the interaction in a biological context.","The SMILES of Drug 1 contains two benzene rings and a triazole ring, while Drug 2 contains two benzene rings. These structures are indicative of aromatic systems capable of engaging in pi-pi stacking.","Moderate - While pi-pi interactions can affect the binding properties of compounds with protein targets, such interactions are generally subtle and contingent upon precise geometric alignment."
Methylphenidate,Salmeterol,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,C1=CC=C(C=C1)CCCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O,Hydrogen Bonding,"The hydroxyl group (-OH) present on aromatic rings or aliphatic chains can act as hydrogen bond donors or acceptors. In SMILES 2, multiple hydroxyl groups are evident, which can form hydrogen bonds with the carbonyl oxygen in SMILES 1.","In SMILES 1, the ester group has a carbonyl oxygen (C=O) that can serve as a hydrogen bond acceptor. In SMILES 2, there are hydroxyl groups (represented as -OH), particularly the ""O"" in the segments like ""OCC"" which can donate hydrogen to interact with the carbonyl oxygen in SMILES 1.","Moderate - Hydrogen bonds, while generally weak, can influence drug binding affinity depending on the context, but typically have a moderate impact on the pharmacological profile when intermolecular."
Metoprolol,Perphenazine,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,Hydrogen Bonding,"A hydrogen bond can occur between a hydrogen atom attached to a more electronegative atom (donor) and an electronegative atom with a lone pair of electrons (acceptor). In the first SMILES, an alcohol group (-OH) is present, potentially acting as a hydrogen bond donor. In the second SMILES, the oxygen in the ether group (CCO) can act as a hydrogen bond acceptor.","SMILES 1 contains the group ""...C(COC1=CC=C(C=C1)CCOC)O"" with an -OH group capable of donating a hydrogen bond. SMILES 2 contains the sequence ""N(CCO)"" where the oxygen could act as an acceptor.",Moderate - This interaction could influence the solvation and binding characteristics of the molecules when in proximity to each other within a biological environment.
Lamotrigine,oxybutynin,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O,Hydrogen Bonding,"Hydrogen bonds can form between a hydrogen donor and an acceptor. In SMILES 1, the NH group in the hydrazine moiety (N=N) and the amine group (NH) can act as hydrogen bond donors. In SMILES 2, the carbonyl oxygen (C=O) can act as a hydrogen bond acceptor.","- SMILES 1 contains a hydrazine moiety ""N=N"" with an adjacent ""NH"" group capable of donating hydrogen bonds.
- SMILES 1 contains an amine group ""N"" that can donate hydrogen bonds.
- SMILES 2 contains a ""C(=O)"" group, where the oxygen can accept hydrogen bonds.",Moderate - Hydrogen bonding is a common interaction that can influence the pharmacokinetic properties of drugs without necessarily causing significant adverse effects.
acetazolamide,Celecoxib,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,Hydrogen Bonding,"The interaction occurs due to the presence of hydrogen bond donors and acceptors in both molecules. Hydrogen bond donors (NH groups) in SMILES 1 can interact with acceptor atoms (N or O) in SMILES 2, or vice versa.","- SMILES 1 contains an NH group: ""S(=O)(=O)N"", where the NH can donate a hydrogen.
- SMILES 2 has sulfonamide ""S(=O)(=O)N"", where the sulfone oxygen can act as a hydrogen bond acceptor.","Moderate - The hydrogen bonds could affect the binding affinity or solubility of one or both drugs, impacting their pharmacological behavior."
Naproxen,Torasemide,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C,Hydrogen Bonding,"A hydrogen bond can form between a hydrogen donor group in one molecule and an acceptor group in the other under physiological conditions, such as between a carbonyl oxygen or sulfonyl oxygen and an acidic hydrogen.","- In SMILES 1, there is a carboxylic acid group (C(=O)O) which can act as both a hydrogen bond donor and acceptor.
- In SMILES 2, there is a sulfonamide group (S(=O)(=O)N) where the sulfonyl oxygens can be hydrogen bond acceptors, and the adjacent NH group can be a hydrogen bond donor.","Moderate - This interaction could potentially affect the solubility or binding of these compounds if they are in proximity, influencing their pharmacological profiles."
Famotidine,Lamotrigine,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,Hydrogen bonding,"Hydrogen bonding occurs between a hydrogen atom attached to a nitrogen or oxygen atom in one molecule and an electronegative atom (such as nitrogen, oxygen, or sulfur) in the other molecule.","- SMILES 1 contains amino groups (-N=C(N)N and -NS(=O)(=O)N) which have hydrogen atoms capable of forming hydrogen bonds.
- SMILES 2 contains amino groups (-N) and azide (-N=N-) units that can also participate in hydrogen bonding either as donors or acceptors.
- The sulfur-containing group in SMILES 1 (N=CSCCC(=NS(=O)(=O)N)N) and the nitrogen-rich group in SMILES 2 (N=C(N=N)N) may interact through hydrogen bonding given the proximity of their hydrogen donor and acceptor groups.","Moderate - Hydrogen bonding can affect molecular recognition and binding, potentially influencing drug efficacy or interaction."
Cetirizine,desvenlafaxine,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,Hydrogen Bonding,A hydrogen bond can potentially form between the hydroxyl group (–OH) of the second molecule and the carbonyl group (C=O) of the first molecule. Hydrogen bonds are typical between an electronegative atom with a lone pair (such as oxygen in –OH) and a hydrogen attached to an electronegative atom (such as oxygen in C=O).,"In SMILES 1, there is a carbonyl group (C=O) within the ester moiety, and in SMILES 2, there is a hydroxyl group (–OH) on the aromatic ring.","Moderate - Hydrogen bonding is a common and significant interaction in biological systems, influencing compound solubility and receptor binding affinity."
Duloxetine,desvenlafaxine,CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,Hydrogen Bonding,Hydrogen bonding can occur between the hydroxyl group (–OH) in SMILES 2 and the ether oxygen (–O–) in SMILES 1.,"SMILES 1 contains “OC2=...”, indicating the presence of an ether oxygen, while SMILES 2 has “C(C1=...O)C2”, indicating a hydroxyl group. These groups can potentially interact via hydrogen bonding.",Moderate - Hydrogen bonding can significantly influence binding and interaction in a biological context.
Celecoxib,Midodrine,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,COC1=CC(=C(C=C1)OC)C(CNC(=O)CN)O,Hydrogen Bonding,"The presence of hydrogen bond donors and acceptors within both molecules allows for potential hydrogen bonds to form between them. Specifically, an NH group in SMILES 1 could serve as a hydrogen bond donor, while an oxygen atom in the methoxy group of SMILES 2 could act as a hydrogen bond acceptor.","- In SMILES 1, the sulfonamide group (S(=O)(=O)N) contains oxygen atoms which can participate in hydrogen bond interactions either as acceptors or donors.
- In SMILES 2, methoxy groups (OC) consist of oxygen capable of accepting hydrogen bonds, and the presence of an alcohol group (C(C)O) along with amide group (NC(=O)) provide potential donor sites.","Moderate - The presence of these functional groups can influence the drugs' solubility and intermolecular interactions, pertinent in physiological environments."
Amlodipine,Furosemide,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,Hydrogen Bonding,"The hydrogen bonding interaction could potentially occur between donor-acceptor groups present in each of the SMILES strings. In SMILES 1, the secondary amine nitrogen in the heterocyclic structure is capable of hydrogen bonding. In SMILES 2, the carboxyl group provides a hydrogen bond donor (OH) and an acceptor (C=O).","- SMILES 1: The amine nitrogen in the fragment `NC(=C...` suggests a lone pair that could act as a hydrogen bond acceptor.
- SMILES 2: The carboxyl group `C(=O)O` has an OH, which can donate a hydrogen for bonding.","Moderate - Hydrogen bonding can influence drug solubility and permeability, potentially affecting pharmacokinetic profiles."
oxybutynin,Zaleplon,CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O,CCN(C1=CC=CC(=C1)C2=CC=NC3=C(C=NN23)C#N)C(=O)C,Pi-Pi Stacking,"Aromatic pi-pi stacking occurs between aromatic rings in each molecule, which can stabilize the molecules when they are in proximity to each other.","Both SMILES contain phenyl rings. In SMILES 1, C2=CC=CC=C2 represents a phenyl ring, and in SMILES 2, C1=CC=CC(=C1) represents another phenyl ring. These rings have the potential to engage in a pi-pi stacking interaction.",Moderate - Pi-pi stacking could influence binding affinity or selectivity in a pharmacological context.
Celecoxib,tolcapone,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-],π-π Stacking,"π-π stacking occurs when aromatic rings are involved in non-covalent interactions, due to their ability to share electron cloud regions. This interaction can occur between the aromatic rings in proximity.","Both SMILES contain aromatic benzene rings: SMILES 1 has multiple benzene rings (e.g., `C1=CC=C(C=C1)`) and SMILES 2 also contains a benzene ring (`C1=CC=C(C=C1)`). These aromatic systems can potentially align and participate in π-π stacking interactions.","Moderate - While π-π interactions are generally weak compared to covalent or ionic bonds, they are significant in drug design due to their influence on molecular conformation and binding properties."
